"","X","Forest","Site","richness","sw_diversity","evenness","avg","sd","sw_div_h","richness_h","evenness_h","evenness_h_log","sd_log","log_1_SD","log_alpha","y0","yf","alpha"
"14",14,"Tongass","Beecher Pass",27,2.63379901327438,0.799129058977801,25,10.4140701399822,1.30684763930132,4,0.942691304208731,-0.0590164049688899,2.34315778988052,-2.34315778988052,-1.66841064289171,478.523382499619,-1.8642089899321,0.188546495337964
"15",15,"Tongass","Coffman Cove",50,2.70346578971199,0.691065923170898,25,9.30168641280579,1.32713269311652,4,0.957323877480409,-0.0436135148146077,2.23019571843036,-2.23019571843036,-1.74926902718104,221.962881303816,2.66607063415768,0.173901013916622
"16",16,"Tongass","Craig",56,2.96270975022261,0.736012646309056,25,5.42807710803598,1.36741333581713,4,0.986380219214403,-0.013713380846456,1.69158494747894,-1.69158494747894,-2.04322107588808,200.745653872052,0.703256943885371,0.129610552354771
"17",17,"Tongass","Edna Bay",42,2.79534563872752,0.747884624433812,25,14.7688575083296,1.23897228890707,4,0.893729588502537,-0.112352023273831,2.69252074137336,-2.69252074137336,-1.88500990243268,408.46653614296,5.29346863352923,0.151827555959835
"18",18,"Tongass","Elfin Cove",22,2.30669612743978,0.746251842944967,25,10.7550825853802,1.31166839655431,4,0.946168745499841,-0.0553343479308968,2.37537844147963,-2.37537844147963,-1.32096894705684,248.846916526104,5.77752179590295,0.266876587361851
"19",19,"Tongass","Game Creek",25,2.38329096662452,0.740410968392079,25,8.40168998415902,1.34699500818264,4,0.971651509203641,-0.0287580684346942,2.12843287420392,-2.12843287420392,-1.43839843815409,186.258913610548,-1.18487898576696,0.237307517162838
"20",20,"Tongass","Gustavus",29,2.17663299996913,0.646403853378653,25,9.29655076865668,1.32514795366109,4,0.955892190595503,-0.0451101436335178,2.22964344627364,-2.22964344627364,-1.1045845147801,238.908086167445,3.31376619807712,0.331348524060312
"21",21,"Tongass","Haines",59,2.91818823935117,0.715674173320637,25,20.4079439546377,1.11009960342796,4,0.800767596379161,-0.222184515861806,3.01592423459101,-3.01592423459101,-1.89608184577982,138.100119528181,1.02062352477114,0.150155801723848
"22",22,"Tongass","Hollis",43,2.885302593668,0.767122861032867,25,4.2541810060856,1.37482399667629,4,0.991725881050012,-0.00830853947000037,1.44790226549333,-1.44790226549333,-1.93952125464234,173.138644041651,0.325978034181309,0.14377276384743
"23",23,"Tongass","Hoonah",49,2.86610082217216,0.736442230789427,25,5.0567948790696,1.36973192928737,4,0.988052730865077,-0.0120192113375394,1.62073285949343,-1.62073285949343,-1.93812328788047,317.108442213026,-0.114068575046285,0.143973893946392
"24",24,"Tongass","Hydaburg",44,2.72352387187777,0.719711255341544,25,10.5168268892722,1.32127326038476,4,0.953097190208146,-0.0480383970985671,2.35297653531611,-2.35297653531611,-1.79202147865394,394.99879811973,2.46866045582656,0.166623004149265
"25",25,"Tongass","Hyder",30,2.75483467391349,0.809960247754633,25,12.5650558308286,1.2944244289028,4,0.933729852191799,-0.0685681200725359,2.53091961434649,-2.53091961434649,-1.78649799598611,346.763142763303,-1.08804762770947,0.167545889849982
"26",26,"Tongass","Kake",42,2.66331027262717,0.712559039354144,25,6.8553051151509,1.35539513601804,4,0.977710920589126,-0.0225412348600613,1.92502282189258,-1.92502282189258,-1.66477326241891,182.620607548077,1.56124849228503,0.189233559477645
"27",27,"Tongass","Kasaan",32,2.42268930614198,0.699040369517151,25,8.76697779038424,1.3438012280576,4,0.969347683829596,-0.0311319246054632,2.17099213928332,-2.17099213928332,-1.40904327082728,304.285996088912,5.39196497456956,0.244376973926317
"28",28,"Tongass","Klawock",55,3.0244650468487,0.754732613198781,25,8.45505169750317,1.343920759993,4,0.96943390789481,-0.0310429779539795,2.13476409676156,-2.13476409676156,-2.0778985755028,256.692145047205,1.48492913780594,0.125193019645227
"29",29,"Tongass","Klukwan",38,2.04141489098436,0.561200422847968,25,39.9018330025887,0.572966182554578,4,0.413307735084285,-0.88356284221668,3.68642226275512,-3.68642226275512,-0.995476338019564,352.857512244505,5.44535225322643,0.369547373148778
"30",30,"Tongass","Metlakatla",36,2.88901513476111,0.806195023488779,25,4.9314325590842,1.37192143875979,4,0.989632128093999,-0.010421992693189,1.59562952578037,-1.59562952578037,-2.04445174306207,67.8090170809689,-1.35927312957823,0.129451143012627
"31",31,"Tongass","Meyers Chuck",27,2.6070427531713,0.791010859809915,25,13.3454098535917,1.27155354243781,4,0.917231994949915,-0.0863948453208004,2.59117249453113,-2.59117249453113,-1.66939964573287,414.744870081908,-4.54694541776643,0.188360114499165
"32",32,"Tongass","Naukati Bay",39,2.70297978609984,0.737801092812344,25,9.27869497695531,1.3324403537365,4,0.961152545307991,-0.0396221465965945,2.22772090942587,-2.22772090942587,-1.7188336133235,236.557235979802,0.59142631270444,0.179275130133976
"33",33,"Tongass","Pelican",36,2.49263593968546,0.695583303031005,25,10.1613205153352,1.31589874288148,4,0.949220295333566,-0.052114373134607,2.31858840568653,-2.31858840568653,-1.54552502601983,325.112721384065,5.32485839258991,0.213199906334997
"34",34,"Tongass","Petersburg",46,2.83933066203996,0.741602664758224,25,10.4823968096467,1.30968219700569,4,0.944736005380338,-0.056849749902382,2.34969735595486,-2.34969735595486,-1.85701579918794,173.950596391693,2.36329686090193,0.156137882615751
"35",35,"Tongass","Point Baker",39,2.76447889112798,0.754587791377416,25,9.60924428426449,1.32048855069381,4,0.952531141818306,-0.0486324776933769,2.262725581416,-2.262725581416,-1.84469226793749,312.624053453086,-0.184451768105562,0.158073957830763
"36",36,"Tongass","Port Alexander",33,2.33354626571769,0.667393456097366,25,14.581077987637,1.24638539018767,4,0.899077010730101,-0.106386585520731,2.6797246598993,-2.6797246598993,-1.3617328795549,288.739046082914,4.84941076794202,0.256216399877805
"37",37,"Tongass","Port Protection",48,2.98300377850697,0.770562874441743,25,8.06707327847608,1.34641900598757,4,0.971236011448455,-0.0291857800310719,2.08779074964682,-2.08779074964682,-2.02489106827717,383.038249834574,1.05703289505443,0.132008222287728
"38",38,"Tongass","Saxman",43,2.79675783288823,0.74358123653639,25,9.49406868089524,1.33363247567246,4,0.962012479510562,-0.0387278559363703,2.25066725423981,-2.25066725423981,-1.87078898210489,149.596183942569,0.727339720676367,0.154002108961837
"39",39,"Tongass","Sitka",58,2.88254771516503,0.709909659531737,25,9.48566218796329,1.3251106273694,4,0.955865265367545,-0.0451383116711269,2.24978141517921,-2.24978141517921,-2.00809646444609,161.293625325703,0.970234590108503,0.13424396977943
"40",40,"Tongass","Skagway",28,2.64529869740508,0.793858446961286,25,21.4589172443555,1.06579656236135,4,0.768809707557611,-0.262911794509817,3.06614028133301,-3.06614028133301,-1.72508980089176,49.3577195820069,-0.947833189973786,0.178157052392351
"41",41,"Tongass","Tenakee Springs",31,2.45423661256779,0.714690086603206,25,10.4907780156985,1.31134474451659,4,0.945935279904946,-0.0555811267474369,2.35049658702672,-2.35049658702672,-1.60468469451295,277.176136513177,1.70891603435281,0.20095290647621
"42",42,"Tongass","Thorne Bay",49,2.71907265162465,0.698663464226415,25,11.4761009911894,1.29844063461819,4,0.936626932226191,-0.065470227333084,2.44026669828861,-2.44026669828861,-1.73645335756652,180.855787095228,1.13439467816066,0.176144013930801
"43",43,"Tongass","Whale Pass",37,2.59325541287317,0.718170691112212,25,11.015358656573,1.30843144396628,4,0.943833777776668,-0.0578052112047428,2.39929054046621,-2.39929054046621,-1.65747618987935,201.405688124727,2.69892122632795,0.190619460849878
"44",44,"Tongass","Whitestone",29,1.9882073614417,0.590446299293427,25,13.6341919000621,1.26758232293246,4,0.914367365606588,-0.0895228565450362,2.61258074795245,-2.61258074795245,-0.888940915047945,174.133855549275,4.07893305432605,0.411090902470145
"45",45,"Tongass","Wrangell",49,2.93548005225643,0.754269166457026,25,8.32509054556116,1.34234104479316,4,0.968294384252403,-0.03221912197622,2.11927391215104,-2.11927391215104,-1.92142160134845,162.034475306665,2.08107224158502,0.146398693547818
"46",46,"Tongass","Yakutat",69,2.870137459734,0.67786142285691,25,15.6174382848557,1.24117423310208,4,0.895317955487765,-0.110576366268066,2.74838812871175,-2.74838812871175,-1.80078424998799,352.338440237628,5.38548689459217,0.165169303390577
